Week,Team,Opponent,Location,Stadium Type,First Downs,Rushing Attempts,Rushing Yards,Rushing Touchdowns,Passing Completions,Passing Attempts,Passing Yards,Passing Touchdowns,Interceptions,Total Sacks,Total Sack Yards,Total Fumbles,Total Fumbles Lost,Turnovers,Total Penalties,Total Penalty Yards,Total 3rd Down Attempts,Total 3rd Down Completions,3rd Down Conversion,Total 4th Down Attempts,Total 4th Down Completions,4th Down Conversion,Time of Possesion,Points,Opponent Points,Win/Loss
1,Ravens,Chiefs,Away,Outdoor,25,32,185,1,26,41,273,1,0,1,6,1,1,1,7,64,14,7,0.5,2,1,0.5,33.72,20,27,Loss
1,Chiefs,Ravens,Home,Outdoor,21,20,72,2,20,28,291,1,1,2,10,0,0,1,6,45,9,4,0.4444444444,0,0,,26.28,27,20,Win
1,Packers,Eagles,Home,International,19,21,163,1,17,35,260,2,1,2,9,1,0,1,10,71,11,3,0.2727272727,1,1,1,27.22,29,34,Loss
1,Eagles,Packers,Away,International,25,38,144,2,20,34,278,2,2,2,12,2,1,3,7,57,14,4,0.2857142857,1,1,1,32.78,34,29,Win
1,Steelers,Falcons,Away,Indoor,16,41,137,0,17,23,156,0,0,2,23,1,0,0,9,60,17,8,0.4705882353,1,0,0,35.60,18,10,Win
1,Falcons,Steelers,Home,Indoor,15,22,89,0,16,26,155,1,2,2,18,1,1,3,5,34,9,2,0.2222222222,1,1,1,24.40,10,18,Loss
1,Cardinals,Bills,Away,Outdoor,18,25,124,1,21,31,162,1,0,4,16,1,1,1,5,31,13,7,0.5384615385,1,0,0,29.50,28,34,Loss
1,Bills,Cardinals,Home,Outdoor,23,33,130,2,18,23,232,2,0,2,10,1,1,1,9,65,9,3,0.3333333333,2,2,1,30.50,34,28,Win
1,Titans,Bears,Away,Outdoor,16,26,140,1,19,32,127,1,2,3,23,1,1,3,8,50,14,3,0.2142857143,2,1,0.5,34.90,17,24,Loss
1,Bears,Titans,Home,Outdoor,11,22,84,0,14,29,93,0,0,2,29,3,1,1,7,55,13,2,0.1538461538,2,2,1,25.10,24,17,Win
1,Patriots,Bengals,Away,Outdoor,17,39,170,1,15,24,121,0,0,1,1,1,0,0,5,40,15,6,0.4,0,0,,34.05,16,10,Win
1,Bengals,Patriots,Home,Outdoor,13,16,70,1,21,29,164,0,0,3,10,3,2,2,2,10,11,4,0.3636363636,1,0,0,25.95,10,16,Loss
1,Cowboys,Browns,Away,Outdoor,15,25,102,1,19,32,179,1,0,3,16,1,0,0,11,85,14,4,0.2857142857,0,0,,29.10,33,17,Win
1,Browns,Cowboys,Home,Outdoor,15,19,93,1,24,45,169,1,2,6,32,1,0,2,11,64,15,2,0.1333333333,5,3,0.6,30.90,17,33,Loss
1,Texans,Colts,Away,Indoor,26,40,213,1,24,32,234,2,0,4,30,0,0,0,5,30,14,7,0.5,2,2,1,40.00,29,27,Win
1,Colts,Texans,Home,Indoor,14,22,104,2,9,19,212,2,1,2,13,0,0,1,4,20,10,5,0.5,2,1,0.5,20.00,27,29,Loss
1,Rams,Lions,Away,Indoor,26,23,83,1,34,49,317,1,1,2,13,0,0,1,6,50,12,5,0.4166666667,2,1,0.5,34.93,20,26,Loss
1,Lions,Rams,Home,Indoor,21,31,163,2,18,28,217,1,1,2,17,0,0,1,6,56,13,6,0.4615384615,1,1,1,29.75,26,20,Win
1,Jaguars,Dolphins,Away,Outdoor,17,26,128,1,12,21,162,1,0,3,23,2,1,1,8,71,10,2,0.2,1,0,0,26.83,17,20,Loss
1,Dolphins,Jaguars,Home,Outdoor,18,25,81,1,23,37,338,1,0,3,19,0,0,0,9,103,16,8,0.5,2,0,0,33.17,20,17,Win
1,Panthers,Saints,Away,Indoor,11,20,58,1,13,31,161,0,2,4,26,1,1,3,6,80,10,1,0.1,3,1,0.3333333333,23.35,10,47,Loss
1,Saints,Panthers,Home,Indoor,22,37,180,2,19,24,200,3,0,1,1,1,1,1,10,95,13,7,0.5384615385,0,0,,36.65,47,10,Win
1,Vikings,Giants,Away,Outdoor,17,26,111,1,19,24,208,2,1,1,7,1,1,2,7,63,10,3,0.3,1,1,1,27.57,28,6,Win
1,Giants,Vikings,Home,Outdoor,14,21,74,0,22,42,186,0,2,5,20,1,0,2,9,95,18,7,0.3888888889,3,1,0.3333333333,32.43,6,28,Loss
1,Raiders,Chargers,Away,Outdoor,14,22,71,0,25,33,257,1,1,4,32,2,2,3,2,15,14,5,0.3571428571,1,0,0,31.73,10,22,Loss
1,Chargers,Raiders,Home,Outdoor,11,27,176,1,17,26,144,1,0,1,4,0,0,0,7,50,15,4,0.2666666667,0,0,,28.27,22,10,Win
1,Broncos,Seahawks,Away,Outdoor,13,25,99,1,26,42,138,0,2,2,6,2,1,3,8,60,18,5,0.2777777778,1,1,1,31.23,20,26,Loss
1,Seahawks,Broncos,Home,Outdoor,19,33,146,2,18,25,171,1,1,2,13,1,1,2,6,41,12,4,0.3333333333,0,0,,28.77,26,20,Win
1,Commanders,Buccaneers,Away,Outdoor,22,30,138,3,17,24,184,0,0,2,23,3,0,0,7,51,8,2,0.25,1,1,1,26.32,20,37,Loss
1,Buccaneers,Commanders,Home,Outdoor,22,30,112,0,24,30,289,4,0,1,9,0,0,0,7,46,13,9,0.6923076923,0,0,,33.68,37,20,Win
1,Jets,49ers,Away,Outdoor,14,19,68,1,19,29,203,2,1,1,5,1,1,2,3,10,10,6,0.6,1,0,0,21.33,19,32,Loss
1,49ers,Jets,Home,Outdoor,24,38,180,2,19,29,231,0,0,3,10,0,0,0,4,40,13,6,0.4615384615,0,0,,38.67,32,19,Win
2,Bills,Dolphins,Away,Outdoor,13,26,108,2,13,19,139,1,0,0,0,1,0,0,1,5,9,3,0.3333333333,1,1,1,23.68,31,10,Win
2,Dolphins,Bills,Home,Outdoor,20,34,139,0,25,39,225,1,3,2,13,0,0,3,7,50,15,7,0.4666666667,5,1,0.2,36.32,10,31,Loss
2,Chargers,Panthers,Away,Outdoor,21,44,219,1,14,20,130,2,1,1,0,1,1,2,3,15,16,9,0.5625,0,0,,36.30,26,3,Win
2,Panthers,Chargers,Home,Outdoor,7,18,90,0,18,26,84,0,1,2,15,0,0,1,9,90,12,1,0.08333333333,3,1,0.3333333333,23.70,3,26,Loss
2,Rams,Cardinals,Away,Indoor,14,20,53,1,19,27,216,0,0,5,24,1,1,1,2,10,11,2,0.1818181818,3,1,0.3333333333,23.10,10,41,Loss
